读音,对应的汉字
しょく,"殖, 植, 属, 飾, 嘱, 続, 食, 触, 色, 織, 職"
しる,"汁, 録, 識, 記, 印"
しん,"唇, 心, 申, 針, 審, 辛, 親, 辰, 槙, 秦, 紳, 真, 伸, 信, 振, 身, 新, 森, 津, 寝, 請, 侵, 診, 清, 臣, 娠, 晋, 進, 深, 慎, 浸, 神, 参, 震"
じゃく,"着, 弱, 若, 寂, 雀"
じゅ,"習, 従, 寿, 就, 入, 鷲, 需, 授, 樹, 受"
じゅう,"十, 充, 獣, 拾, 従, 汁, 渋, 重, 柔, 住, 縦, 銃"
じゅん,"循, 盾, 准, 準, 淳, 巡, 旬, 順, 潤, 純"
じょ,"如, 除, 助, 女, 徐, 叙, 序"
じょう,"蒸, 貞, 丈, 譲, 浄, 縄, 靖, 壌, 畳, 錠, 定, 静, 常, 醸, 乗, 鄭, 趙, 成, 上, 冗, 条, 剰, 城, 場, 承, 娘, 状, 盛, 情, 肇"
じん,"腎, 沈, 刃, 迅, 甚, 辰, 尋, 陣, 人, 稔, 仁, 神, 臣, 妊, 尽"
すい,"椎, 酔, 粋, 誰, 穂, 剤, 炊, 垂, 睡, 瑞, 遂, 出, 吹, 塁, 衰, 水, 崔, 推"
せい,"西, 牲, 世, 晴, 蒸, 整, 勢, 歳, 省, 征, 浄, 政, 聖, 星, 済, 正, 背, 靖, 静, 性, 声, 生, 成, 請, 誠, 井, 清, 制, 精, 城, 剤, 姓, 製, 盛, 斉, 誓, 青, 情"
せき,"釈, 赤, 析, 積, 石, 尺, 昔, 績, 責, 席, 関, 潟, 惜, 跡, 舎, 隻, 籍, 寂, 夕, 堰"
せつ,"摂, 接, 説, 節, 殺, 切, 雪, 設, 窃, 拙, 折"
せん,"扇, 践, 銭, 潜, 選, 仙, 繊, 禅, 千, 染, 旋, 泉, 山, 宣, 船, 川, 専, 遷, 占, 浅, 鮮, 洗, 薦, 戦, 線, 先, 釧, 亘"
ぜん,"然, 銭, 全, 前, 禅, 善, 楠"
そう,"世, 荘, 槽, 倉, 争, 操, 箱, 曽, 贈, 早, 宗, 曹, 草, 走, 将, 掃, 遭, 扱, 葬, 装, 創, 聡, 桑, 壮, 騒, 蔵, 諏, 奏, 滝, 繰, 捜, 送, 双, 窓, 総, 相, 巣, 喪, 想, 燥, 庄, 挿, 僧, 層, 奨"
そく,"則, 束, 足, 測, 側, 息, 速, 数, 職, 捉, 促, 即"
そん,"村, 損, 樽, 存, 尊, 孫"
ぞう,"象, 憎, 贈, 曹, 雑, 篠, 増, 造, 蔵, 像, 三, 曽, 臓"
ぞく,"属, 財, 続, 族, 俗"
たい,"耐, 太, 敦, 退, 代, 平, 台, 逮, 体, 怠, 大, 帯, 袋, 態, 胎, 待, 泰, 貸, 隊, 替, 対, 滞, 来"
たく,"託, 択, 濯, 宅, 卓, 拓, 沢, 巧, 度"
ただ,"正, 訂, 唯, 質, 弾, 糾, 縄, 直"
たま,"霊, 偶, 魂, 球, 堪, 玉, 給, 弾, 珠"
たん,"嘆, 端, 誕, 胆, 鍛, 壇, 反, 堪, 単, 探, 段, 丹, 担, 灘, 短, 弾, 淡, 炭"
だい,"奈, 題, 大, 袋, 乃, 代, 台, 弟, 第, 提, 内"
だん,"談, 暖, 断, 壇, 敦, 団, 段, 男, 弾, 灘, 楠"
ちく,"築, 筑, 畜, 竹, 蓄"
ちゅう,"忠, 仲, 柱, 沖, 中, 駐, 虫, 宙, 抽, 注, 住, 昼"
ちょう,"彫, 登, 敦, 調, 挑, 眺, 長, 頂, 畳, 懲, 腸, 聴, 趙, 塚, 重, 張, 丁, 条, 釣, 帳, 兆, 肇, 弔, 場, 庁, 鳥, 朝, 超, 澄, 町, 跳, 徴, 提, 潮"
ちん,"沈, 椿, 珍, 亭, 賃, 丁, 陳, 鎮"
つい,"椎, 終, 追, 費, 墜, 叙, 序, 対, 遂"
つか,"事, 束, 仕, 塚, 疲, 支, 発, 捕, 労, 柄, 遣, 使"
つく,"属, 創, 造, 為, 作"
てい,"庭, 貞, 弟, 第, 締, 提, 邸, 抵, 定, 体, 鄭, 訂, 聴, 廷, 艇, 丁, 逓, 底, 帝, 程, 堤, 呈, 亭, 庁, 停, 偵, 滞, 低"
てき,"荻, 摘, 的, 敵, 適, 笛"
てつ,"徹, 迭, 哲, 撤, 鉄"
てん,"天, 店, 殿, 点, 伝, 淀, 典, 添, 槙, 展, 転"
でん,"電, 殿, 伝, 淀, 典, 田"
とう,"悼, 筒, 凍, 嶌, 登, 搭, 当, 盗, 酬, 稲, 等, 樋, 道, 読, 党, 刀, 灯, 透, 答, 丁, 藤, 陶, 塔, 討, 到, 斗, 桐, 投, 桃, 唐, 騰, 冬, 統, 納, 豆, 棟, 倒, 島, 糖, 踏, 闘, 東, 湯, 頭, 嶋, 逃, 肇"
とく,"釈, 得, 読, 徳, 特, 篤, 独, 督"
とも,"倶, 供, 点, 共, 灯, 友, 乏"
とん,"敦, 団, 豚, 問, 屯"
どう,"洞, 脳, 堂, 道, 銅, 登, 藤, 働, 動, 桐, 童, 同, 胴, 導"
ない,"奈, 乃, 泥, 内, 没"
なん,"何, 納, 男, 軟, 難, 楠, 南"
にん,"刃, 認, 忍, 任, 人, 稔, 仁, 妊"
ねん,"然, 燃, 年, 稔, 念, 粘, 楠"
のう,"脳, 納, 能, 濃, 悩, 農"
のり,"則, 経, 準, 典, 芸, 法"
はい,"抜, 拝, 敗, 背, 肺, 灰, 廃, 入, 輩, 俳, 杯, 排, 配"
はか,"謀, 画, 測, 計, 経, 図, 略, 権, 諮, 量, 墓, 称, 諏"
はく,"迫, 泊, 伯, 博, 舶, 白, 薄, 拍, 覇, 粕, 柏"
はじ,"創, 始, 恥, 弾, 初, 肇"
はた,"端, 幡, 機, 傍, 将, 秦, 畑, 畠, 旗, 果"
はつ,"抜, 削, 髪, 鉢, 発, 八, 初, 伐, 罰"
はな,"離, 端, 話, 華, 花, 放, 発, 鼻"
はん,"繁, 伴, 翻, 磐, 半, 販, 範, 搬, 帆, 坂, 班, 板, 藩, 凡, 阪, 判, 版, 犯, 幡, 反, 飯, 般"
ばい,"売, 殻, 倍, 陪, 培, 枚, 梅, 媒, 賠, 買, 貝"
ばく,"縛, 暴, 麦, 博, 漠, 幕, 爆"
ばつ,"抜, 閥, 末, 伐, 罰"
ばん,"番, 幡, 板, 伴, 盤, 磐, 万, 満, 判, 晩"
ひょう,"俵, 表, 氷, 票, 評, 平, 兵, 拍, 標, 漂"
ひん,"品, 貧, 浜, 賓, 頻"
びょう,"描, 病, 秒, 平, 妙, 猫, 苗"
ふう,"夫, 富, 阜, 冨, 風, 封"
ふく,"副, 複, 伏, 覆, 腹, 膨, 福, 幅, 服, 含, 復"
ふん,"墳, 紛, 奮, 分, 憤, 雰, 粉, 噴"
へい,"陛, 併, 弊, 坪, 病, 瓶, 平, 閉, 並, 兵, 塀, 柄, 幣"
へん,"片, 弁, 辺, 変, 編, 返, 遍, 偏"
ほう,"朴, 庄, 訪, 方, 奉, 法, 縫, 封, 峰, 邦, 保, 崩, 胞, 豊, 宝, 飽, 鵬, 包, 砲, 呆, 報, 亨, 棚, 放, 抱, 泡, 芳, 俸, 並"
ほん,"品, 本, 幡, 奔, 反, 翻"
ぼう,"夢, 望, 帽, 棒, 肪, 冒, 霧, 乏, 謀, 剖, 忘, 傍, 房, 亡, 忙, 防, 妨, 矛, 貿, 暴, 茅, 膨, 紡, 坊"
ぼく,"墨, 目, 牧, 朴, 撲, 僕, 睦, 木, 黙"
まい,"妹, 舞, 枚, 参, 毎, 米, 埋"
まさ,"正, 当, 多, 優, 勝, 将"
まつ,"祭, 松, 奉, 須, 末"
まん,"幡, 漫, 万, 慢, 満, 政"
みち,"実, 道, 径, 路, 途"
みょう,"明, 名, 茅, 妙, 苗, 命"
めい,"明, 鳴, 名, 迷, 盟, 命, 銘"
もう,"亡, 忙, 猛, 望, 盲, 申, 帽, 毛, 設, 網"
もと,"許, 本, 求, 故, 素, 旧, 基, 質, 下, 須, 元, 亘"
もん,"聞, 問, 紋, 門, 文"
やく,"訳, 益, 疫, 約, 役, 躍, 薬"
ゆう,"右, 勇, 油, 裕, 雄, 祐, 熊, 有, 憂, 悠, 幽, 優, 郵, 夕, 遊, 誘, 由, 又, 友, 猶, 融"
よう,"妖, 葉, 曜, 容, 様, 幼, 栄, 要, 揚, 楊, 用, 謡, 養, 踊, 八, 擁, 桜, 応, 羊, 陽, 鷹, 洋, 溶, 揺, 腰"
よく,"翼, 翌, 浴, 欲, 抑"
らい,"瀬, 頼, 礼, 塁, 雷, 来"
らん,"覧, 嵐, 蘭, 卵, 乱, 欄"
りゅう,"竜, 柳, 立, 隆, 硫, 粒, 流, 笠, 龍, 留, 劉"
りょう,"霊, 竜, 涼, 僚, 郎, 寮, 嶺, 糧, 龍, 陵, 漁, 亮, 領, 療, 良, 養, 猟, 料, 両, 了, 量, 菱"
りん,"鈴, 臨, 輪, 隣, 綾, 林, 厘, 倫"
れい,"霊, 戻, 鈴, 涙, 玲, 冷, 例, 令, 礼, 齢, 零, 麗, 嶺, 励"
れつ,"劣, 烈, 列, 裂, 律"
れん,"練, 連, 蓮, 聯, 恋, 鎌"
ろう,"竜, 露, 浪, 滝, 老, 郎, 漏, 廊, 朗, 龍, 糧, 労"
ろく,"緑, 録, 陸, 六, 鹿"
